Gene	PLC.0ug	PLC.3ug
ENSG00000000003__TSPAN6_-	42.55	39.66
ENSG00000000419__DPM1_-	51.16	52.73
ENSG00000000457__SCYL3_-	6.78	6.23
ENSG00000000460__C1orf112_+	7.99	7.6
ENSG00000000971__CFH_+	19.84	12.91
ENSG00000001036__FUCA2_-	466.55	424.41
ENSG00000001084__GCLC_-	45.13	47.18
ENSG00000001167__NFYA_+	19.34	13.27
ENSG00000001460__STPG1_-	7.57	9.85
ENSG00000001461__NIPAL3_+	3.2	2.69
ENSG00000001497__LAS1L_-	27.99	25.94
ENSG00000001561__ENPP4_+	30.24	24.86
ENSG00000001617__SEMA3F_+	1.29	1.09
ENSG00000001626__CFTR_+	19.72	13.31
ENSG00000001629__ANKIB1_+	15.52	17.38
ENSG00000001630__CYP51A1_-	243.92	204.16
ENSG00000001631__KRIT1_-	14.02	11.42
ENSG00000002016__RAD52_-	3.7	2.86
ENSG00000002330__BAD_-	63.56	79.52
ENSG00000002549__LAP3_+	85.56	78.15
ENSG00000002822__MAD1L1_-	19.59	19.55
ENSG00000002834__LASP1_+	25.12	31.09
ENSG00000002919__SNX11_+	13.85	14.24
ENSG00000003056__M6PR_-	270.46	210.19
ENSG00000003096__KLHL13_-	0.67	0.36
ENSG00000003137__CYP26B1_-	11.56	9.85
ENSG00000003147__ICA1_-	21.01	21.68
ENSG00000003249__DBNDD1_-	8.15	11.95
ENSG00000003393__ALS2_-	28.49	23.49
ENSG00000003402__CFLAR_+	62.85	67.81
ENSG00000003436__TFPI_-	461.44	376.54
ENSG00000003509__NDUFAF7_+	21.51	20.47
ENSG00000003756__RBM5_+	25	24.86
ENSG00000003989__SLC7A2_+	27.25	20.63
ENSG00000004059__ARF5_+	121.13	146.85
ENSG00000004139__SARM1_+	19.88	16.77
ENSG00000004142__POLDIP2_-	127.04	133.57
ENSG00000004399__PLXND1_-	12.56	9.29
ENSG00000004455__AK2_-	90.93	124.92
ENSG00000004478__FKBP4_+	56.9	82.21
ENSG00000004487__KDM1A_+	59.61	65.16
ENSG00000004534__RBM6_+	42.26	40.42
ENSG00000004660__CAMKK1_-	1.79	1.73
ENSG00000004700__RECQL_-	60.23	52.61
ENSG00000004766__CCDC132_+	8.49	8.12
ENSG00000004777__ARHGAP33_+	3.41	2.17
ENSG00000004779__NDUFAB1_-	169.38	223.14
ENSG00000004799__PDK4_-	128.29	114.87
ENSG00000004864__SLC25A13_-	38.69	34.39
ENSG00000004866__ST7_+	39.23	35.31
ENSG00000004897__CDC27_-	48.5	43.8
ENSG00000004961__HCCS_+	69.55	73.04
ENSG00000004975__DVL2_-	45.42	35.55
ENSG00000005001__PRSS22_-	3.33	2.05
ENSG00000005007__UPF1_+	97.54	79.36
ENSG00000005020__SKAP2_-	61.56	67.73
ENSG00000005022__SLC25A5_+	259.65	278.49
ENSG00000005059__CCDC109B_+	19.43	23.65
ENSG00000005075__POLR2J_-	69.22	73.24
ENSG00000005100__DHX33_-	6.41	7.2
ENSG00000005156__LIG3_+	41.39	29.8
ENSG00000005175__RPAP3_-	54.24	60.21
ENSG00000005189__AC004381.6_+	5.07	4.38
ENSG00000005194__CIAPIN1_-	47.3	51.92
ENSG00000005206__SPPL2B_+	26.41	19.95
ENSG00000005238__FAM214B_-	18.51	15.69
ENSG00000005243__COPZ2_-	0.04	0
ENSG00000005249__PRKAR2B_+	0	0
ENSG00000005302__MSL3_+	16.72	18.38
ENSG00000005339__CREBBP_-	4.83	3.78
ENSG00000005379__BZRAP1_-	0	0
ENSG00000005421__PON1_-	145.46	116.24
